date,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,sub_metering_remainder,rr,nbjrr1,nbjrr5,nbjrr10,nbjbrou
2006-12-16,1209.176,34.922,236.2438,13.0828,0.0,546.0,4926.0,14680.9333,63.75,9.333,5.667,2.167,0.167
2006-12-17,3390.46,226.006,240.087,9.999,2033.0,4187.0,13341.0,36946.6667,63.75,9.333,5.667,2.167,0.167
2006-12-18,2203.826,161.792,241.2317,6.4217,1063.0,2621.0,14018.0,19028.4333,63.75,9.333,5.667,2.167,0.167
2006-12-19,1666.194,150.942,241.9993,4.9264,839.0,7602.0,6197.0,13131.9,63.75,9.333,5.667,2.167,0.167
2006-12-20,2225.748,160.998,242.3081,6.4674,0.0,2648.0,14063.0,20384.8,63.75,9.333,5.667,2.167,0.167
2006-12-21,1717.112,144.166,241.0423,5.0282,1765.0,2623.0,10421.0,13809.5333,63.75,9.333,5.667,2.167,0.167
2006-12-22,2341.338,186.906,241.1845,6.8729,3151.0,350.0,11131.0,24390.3,63.75,9.333,5.667,2.167,0.167
2006-12-23,4773.386,221.47,240.1361,14.0281,2669.0,425.0,14726.0,61736.4333,63.75,9.333,5.667,2.167,0.167
2006-12-24,2550.012,149.9,241.6874,7.6404,1703.0,5082.0,6891.0,28824.2,63.75,9.333,5.667,2.167,0.167
2006-12-25,2743.12,240.28,243.3999,7.9515,6620.0,1962.0,5795.0,31341.6667,63.75,9.333,5.667,2.167,0.167
2006-12-26,3934.11,165.102,241.6254,11.3479,1086.0,2533.0,14979.0,46970.5,63.75,9.333,5.667,2.167,0.167
2006-12-27,1528.76,178.902,243.7674,4.5175,0.0,314.0,6976.0,18189.3333,63.75,9.333,5.667,2.167,0.167
2006-12-28,2072.638,208.876,243.2683,6.0863,2207.0,4419.0,9176.0,18741.9667,63.75,9.333,5.667,2.167,0.167
2006-12-29,3174.392,196.394,240.8713,9.2714,1252.0,5162.0,11329.0,35163.5333,63.75,9.333,5.667,2.167,0.167
2006-12-30,2801.738,312.756,240.5363,8.3171,3148.0,7929.0,12516.0,23102.6333,63.75,9.333,5.667,2.167,0.167
2006-12-31,3494.196,150.852,239.8966,10.1996,0.0,347.0,6502.0,51387.6,63.75,9.333,5.667,2.167,0.167
2007-01-01,2749.004,148.166,240.129,7.9169,0.0,352.0,5880.0,39584.7333,28.36,10.2,0.6,0.0,0.0
2007-01-02,1269.236,190.342,241.9438,3.714,0.0,348.0,6562.0,14243.9333,28.36,10.2,0.6,0.0,0.0
2007-01-03,1014.054,196.728,243.5571,3.014,0.0,344.0,4765.0,11791.9,28.36,10.2,0.6,0.0,0.0
2007-01-04,3259.412,202.302,239.7503,9.4782,1051.0,7597.0,10896.0,34779.5333,28.36,10.2,0.6,0.0,0.0
2007-01-05,2713.364,173.154,240.4958,7.8851,1483.0,379.0,7602.0,35758.7333,28.36,10.2,0.6,0.0,0.0
2007-01-06,1508.378,192.188,239.6731,4.5439,1336.0,402.0,5678.0,17723.6333,28.36,10.2,0.6,0.0,0.0
2007-01-07,2447.62,246.074,240.9025,7.2826,1987.0,8177.0,12810.0,17819.6667,28.36,10.2,0.6,0.0,0.0
2007-01-08,2241.36,207.568,239.577,6.5517,0.0,467.0,17547.0,19342.0,28.36,10.2,0.6,0.0,0.0
2007-01-09,1869.054,207.248,240.4875,5.5211,1688.0,4267.0,9790.0,15405.9,28.36,10.2,0.6,0.0,0.0
2007-01-10,2154.8,228.452,241.0275,6.3578,771.0,4456.0,11012.0,19674.3333,28.36,10.2,0.6,0.0,0.0
2007-01-11,2255.194,230.02,241.1557,6.6583,1378.0,2170.0,12415.0,21623.5667,28.36,10.2,0.6,0.0,0.0
2007-01-12,1461.296,199.14,241.5382,4.3092,0.0,439.0,8276.0,15639.9333,28.36,10.2,0.6,0.0,0.0
2007-01-13,3186.814,290.736,239.2836,9.4531,7806.0,2975.0,11341.0,30991.5667,28.36,10.2,0.6,0.0,0.0
2007-01-14,3011.038,227.432,238.818,8.9717,1777.0,4215.0,12991.0,31200.9667,28.36,10.2,0.6,0.0,0.0
2007-01-15,2148.678,174.86,241.2409,6.2615,1099.0,2239.0,15163.0,17310.3,28.36,10.2,0.6,0.0,0.0
2007-01-16,1686.404,185.428,241.9448,4.976,2063.0,644.0,6583.0,18816.7333,28.36,10.2,0.6,0.0,0.0
2007-01-17,2847.688,200.752,241.0052,8.2839,3500.0,5737.0,16064.0,22160.4667,28.36,10.2,0.6,0.0,0.0
2007-01-18,1821.462,177.712,240.8936,5.3425,0.0,336.0,13491.0,16530.7,28.36,10.2,0.6,0.0,0.0
2007-01-19,1480.44,170.052,240.1609,4.3762,2103.0,330.0,7172.0,15069.0,28.36,10.2,0.6,0.0,0.0
2007-01-20,3133.732,238.362,238.8675,9.3481,4324.0,5222.0,11440.0,31242.8667,28.36,10.2,0.6,0.0,0.0
2007-01-21,3407.262,229.736,238.9681,10.1907,10346.0,5567.0,11599.0,29275.7,28.36,10.2,0.6,0.0,0.0
2007-01-22,2180.494,168.642,241.6031,6.3553,1054.0,2983.0,11361.0,20943.5667,28.36,10.2,0.6,0.0,0.0
2007-01-23,1777.64,138.28,242.7626,5.2608,0.0,1064.0,5061.0,23502.3333,28.36,10.2,0.6,0.0,0.0
2007-01-24,2987.854,178.06,241.4577,8.7336,3464.0,2480.0,11744.0,32109.5667,28.36,10.2,0.6,0.0,0.0
2007-01-25,1596.344,144.16,243.4244,4.6293,1158.0,262.0,11239.0,13946.7333,28.36,10.2,0.6,0.0,0.0
2007-01-26,1617.972,142.902,242.7718,4.7214,1163.0,261.0,8238.0,17304.2,28.36,10.2,0.6,0.0,0.0
2007-01-27,2044.072,148.242,241.6166,5.9499,1170.0,3896.0,12374.0,16627.8667,28.36,10.2,0.6,0.0,0.0
2007-01-28,3092.35,153.606,240.3021,9.1336,3466.0,3997.0,12062.0,32014.1667,28.36,10.2,0.6,0.0,0.0
2007-01-29,1982.664,165.696,240.9296,5.7889,1123.0,294.0,15254.0,16373.4,28.36,10.2,0.6,0.0,0.0
2007-01-30,1707.798,180.934,241.8409,5.0282,1123.0,1424.0,8149.0,17767.3,28.36,10.2,0.6,0.0,0.0
2007-01-31,2363.752,185.988,239.9211,6.9236,0.0,5950.0,15052.0,18393.8667,28.36,10.2,0.6,0.0,0.0
2007-02-01,1824.76,150.264,240.3921,5.3325,1170.0,386.0,13145.0,15711.6667,84.117,13.333,6.5,3.0,0.0
2007-02-02,1667.736,139.542,240.3344,4.8708,0.0,356.0,11338.0,16101.6,84.117,13.333,6.5,3.0,0.0
2007-02-03,4029.722,245.824,238.9102,11.816,4746.0,4573.0,17834.0,40009.0333,84.117,13.333,6.5,3.0,0.0
2007-02-04,3595.94,186.494,239.6333,10.5654,3391.0,4597.0,14472.0,37472.3333,84.117,13.333,6.5,3.0,0.0
2007-02-05,1645.28,147.228,240.8103,4.8204,896.0,2564.0,7849.0,16112.3333,84.117,13.333,6.5,3.0,0.0
2007-02-06,1273.48,142.566,241.2642,3.7719,1185.0,405.0,4517.0,15117.6667,84.117,13.333,6.5,3.0,0.0
2007-02-07,2328.018,177.708,241.1497,6.7917,3299.0,3513.0,11986.0,20002.3,84.117,13.333,6.5,3.0,0.0
2007-02-08,1801.414,138.896,241.7973,5.2483,2226.0,366.0,10157.0,17274.5667,84.117,13.333,6.5,3.0,0.0
2007-02-09,1620.198,158.066,241.7404,4.7272,0.0,3045.0,9770.0,14188.3,84.117,13.333,6.5,3.0,0.0
2007-02-10,2829.328,192.974,240.0368,8.3037,5071.0,2831.0,14405.0,24848.4667,84.117,13.333,6.5,3.0,0.0
2007-02-11,3571.228,204.314,239.5061,10.5268,2430.0,4765.0,13114.0,39211.4667,84.117,13.333,6.5,3.0,0.0
2007-02-12,1877.61,136.704,240.0985,5.5035,2227.0,399.0,11517.0,17150.5,84.117,13.333,6.5,3.0,0.0
2007-02-13,1414.546,134.678,241.1669,4.1438,0.0,2828.0,6256.0,14491.7667,84.117,13.333,6.5,3.0,0.0
2007-02-14,2498.672,202.506,240.3754,7.3151,3295.0,3793.0,11579.0,22977.5333,84.117,13.333,6.5,3.0,0.0
2007-02-15,1985.346,165.964,240.6692,5.8203,0.0,2363.0,14028.0,16698.1,84.117,13.333,6.5,3.0,0.0
2007-02-16,1702.528,151.686,240.8209,5.0465,1148.0,859.0,8689.0,17679.4667,84.117,13.333,6.5,3.0,0.0
2007-02-17,2076.912,238.968,239.316,6.1292,1765.0,2226.0,7157.0,23467.2,84.117,13.333,6.5,3.0,0.0
2007-02-18,3829.762,255.522,239.1708,11.2389,6107.0,8003.0,13129.0,36590.3667,84.117,13.333,6.5,3.0,0.0
2007-02-19,2186.614,176.584,239.7896,6.4422,1634.0,2900.0,13085.0,18824.5667,84.117,13.333,6.5,3.0,0.0
2007-02-20,3149.928,187.158,239.8654,9.1685,2058.0,5191.0,9713.0,35536.8,84.117,13.333,6.5,3.0,0.0
2007-02-21,2072.874,189.87,240.461,6.0744,3527.0,2332.0,11548.0,17140.9,84.117,13.333,6.5,3.0,0.0
2007-02-22,3375.57,138.074,238.6202,9.8749,1409.0,4129.0,12285.0,38436.5,84.117,13.333,6.5,3.0,0.0
2007-02-23,1313.48,149.344,240.686,3.8254,0.0,503.0,10786.0,10602.3333,84.117,13.333,6.5,3.0,0.0
2007-02-24,714.922,122.202,239.8631,2.0858,0.0,363.0,3562.0,7990.3667,84.117,13.333,6.5,3.0,0.0
2007-02-25,501.74,113.736,241.6815,1.4622,0.0,329.0,1660.0,6373.3333,84.117,13.333,6.5,3.0,0.0
2007-02-26,568.484,108.28,241.2736,1.6589,0.0,331.0,2830.0,6313.7333,84.117,13.333,6.5,3.0,0.0
2007-02-27,518.112,113.204,242.9443,1.5246,0.0,314.0,1924.0,6397.2,84.117,13.333,6.5,3.0,0.0
2007-02-28,520.774,113.372,242.1596,1.5285,0.0,340.0,1973.0,6366.5667,84.117,13.333,6.5,3.0,0.0
2007-03-01,517.564,107.628,241.3214,1.5089,0.0,316.0,1980.0,6330.0667,43.217,12.833,2.667,0.0,0.0
2007-03-02,515.688,107.008,240.5916,1.5068,0.0,340.0,1969.0,6285.8,43.217,12.833,2.667,0.0,0.0
2007-03-03,819.122,134.992,241.2881,2.4011,0.0,347.0,4597.0,8708.0333,43.217,12.833,2.667,0.0,0.0
2007-03-04,2090.7,175.682,240.0298,6.1582,1476.0,8711.0,9408.0,15250.0,43.217,12.833,2.667,0.0,0.0
2007-03-05,2660.332,205.956,240.0309,7.8403,5727.0,12109.0,10026.0,16476.8667,43.217,12.833,2.667,0.0,0.0
2007-03-06,1246.5,186.148,240.9881,3.6957,0.0,1740.0,4700.0,14335.0,43.217,12.833,2.667,0.0,0.0
2007-03-07,2375.206,171.2,240.3236,6.935,1076.0,4761.0,15513.0,18236.7667,43.217,12.833,2.667,0.0,0.0
2007-03-08,1572.132,187.404,240.6654,4.6651,2180.0,3385.0,6655.0,13982.2,43.217,12.833,2.667,0.0,0.0
2007-03-09,1272.612,119.238,240.8885,3.7312,1093.0,345.0,8631.0,11141.2,43.217,12.833,2.667,0.0,0.0
2007-03-10,2484.712,243.528,239.8028,7.3419,4130.0,5422.0,10979.0,20880.8667,43.217,12.833,2.667,0.0,0.0
2007-03-11,3480.636,173.374,240.0073,10.1215,4810.0,3420.0,9500.0,40280.6,43.217,12.833,2.667,0.0,0.0
2007-03-12,1950.668,134.422,240.5587,5.7285,1403.0,2841.0,12353.0,15914.1333,43.217,12.833,2.667,0.0,0.0
2007-03-13,1290.144,126.718,240.898,3.8057,1350.0,3859.0,5323.0,10970.4,43.217,12.833,2.667,0.0,0.0
2007-03-14,1793.364,157.522,240.7773,5.2675,3485.0,480.0,8607.0,17317.4,43.217,12.833,2.667,0.0,0.0
2007-03-15,1884.814,159.326,240.2805,5.5232,0.0,3263.0,11036.0,17114.5667,43.217,12.833,2.667,0.0,0.0
2007-03-16,1702.054,130.208,239.5271,4.9924,1106.0,4604.0,5370.0,17287.5667,43.217,12.833,2.667,0.0,0.0
2007-03-17,2028.09,127.068,238.2247,5.9461,2208.0,359.0,12275.0,18959.5,43.217,12.833,2.667,0.0,0.0
2007-03-18,2371.046,241.45,241.0478,7.0079,6564.0,7369.0,5856.0,19728.4333,43.217,12.833,2.667,0.0,0.0
2007-03-19,2152.518,144.764,240.4971,6.2819,1648.0,2686.0,14118.0,17423.3,43.217,12.833,2.667,0.0,0.0
2007-03-20,2086.228,164.87,240.8156,6.1512,3745.0,2837.0,11255.0,16933.4667,43.217,12.833,2.667,0.0,0.0
2007-03-21,2142.092,142.83,240.9866,6.2372,1865.0,4133.0,12335.0,17368.5333,43.217,12.833,2.667,0.0,0.0
2007-03-22,1454.978,113.826,241.7635,4.2231,353.0,736.0,10462.0,12698.6333,43.217,12.833,2.667,0.0,0.0
2007-03-23,1309.008,119.488,241.6455,3.8038,1127.0,777.0,8369.0,11543.8,43.217,12.833,2.667,0.0,0.0
2007-03-24,2968.43,191.024,239.7045,8.7033,3707.0,5797.0,16382.0,23587.8333,43.217,12.833,2.667,0.0,0.0
2007-03-25,3336.506,236.1,240.0348,9.7167,4630.0,3600.0,9358.0,38020.4333,43.217,12.833,2.667,0.0,0.0
2007-03-26,1416.082,160.966,241.3368,4.1831,1088.0,344.0,9096.0,13073.3667,43.217,12.833,2.667,0.0,0.0
2007-03-27,1105.14,151.726,240.602,3.2965,0.0,3019.0,3697.0,11703.0,43.217,12.833,2.667,0.0,0.0
2007-03-28,2333.898,196.518,240.4446,6.8546,1122.0,8527.0,13888.0,15361.3,43.217,12.833,2.667,0.0,0.0
2007-03-29,1590.406,198.696,240.5367,4.6768,1162.0,460.0,10724.0,14160.7667,43.217,12.833,2.667,0.0,0.0
2007-03-30,1402.394,181.128,241.0392,4.1896,1094.0,468.0,8217.0,13594.2333,43.217,12.833,2.667,0.0,0.0
2007-03-31,3509.51,231.504,239.2608,10.2647,2620.0,7707.0,17682.0,30482.8333,43.217,12.833,2.667,0.0,0.0
2007-04-01,2785.952,202.552,240.0245,8.1494,4629.0,5401.0,19509.0,16893.5333,10.567,1.0,0.833,0.667,0.0
2007-04-02,1960.778,174.336,240.4601,5.7126,1755.0,970.0,16641.0,13313.6333,10.567,1.0,0.833,0.667,0.0
2007-04-03,1642.82,168.76,240.505,4.8463,3630.0,1042.0,7637.0,15071.3333,10.567,1.0,0.833,0.667,0.0
2007-04-04,2051.868,172.318,240.3318,5.9862,3434.0,420.0,14748.0,15595.8,10.567,1.0,0.833,0.667,0.0
2007-04-05,1844.078,244.538,241.1731,5.4915,1086.0,4277.0,10523.0,14848.6333,10.567,1.0,0.833,0.667,0.0
2007-04-06,1601.14,143.214,241.1845,4.6886,0.0,5466.0,9166.0,12053.6667,10.567,1.0,0.833,0.667,0.0
2007-04-07,1553.924,138.73,240.3786,4.5646,1127.0,3111.0,5923.0,15737.7333,10.567,1.0,0.833,0.667,0.0
2007-04-08,1608.816,135.882,240.3492,4.7199,0.0,485.0,3545.0,22783.6,10.567,1.0,0.833,0.667,0.0
2007-04-09,1000.92,160.11,240.5505,2.9746,2667.0,514.0,3801.0,9700.0,10.567,1.0,0.833,0.667,0.0
2007-04-10,777.364,148.94,240.8137,2.3474,209.0,742.0,2572.0,9433.0667,10.567,1.0,0.833,0.667,0.0
2007-04-11,887.482,192.446,241.1548,2.6188,0.0,1112.0,6421.0,7258.3667,10.567,1.0,0.833,0.667,0.0
2007-04-12,537.706,147.812,240.2561,1.5979,0.0,541.0,1818.0,6602.7667,10.567,1.0,0.833,0.667,0.0
2007-04-13,551.022,151.64,240.0505,1.6433,0.0,558.0,1988.0,6637.7,10.567,1.0,0.833,0.667,0.0
2007-04-14,554.268,155.61,240.3131,1.6514,0.0,578.0,2008.0,6651.8,10.567,1.0,0.833,0.667,0.0
2007-04-15,726.164,171.544,240.2367,2.1865,0.0,1026.0,2893.0,8183.7333,10.567,1.0,0.833,0.667,0.0
2007-04-16,952.39,186.074,240.6571,2.8725,952.0,1305.0,4656.0,8960.1667,10.567,1.0,0.833,0.667,0.0
2007-04-17,1223.734,218.354,240.1957,3.6908,1532.0,389.0,6199.0,12275.5667,10.567,1.0,0.833,0.667,0.0
2007-04-18,998.246,165.224,240.1468,2.9954,1579.0,355.0,3430.0,11273.4333,10.567,1.0,0.833,0.667,0.0
2007-04-19,1028.658,149.66,240.4298,3.0558,733.0,1605.0,5748.0,9058.3,10.567,1.0,0.833,0.667,0.0
2007-04-20,822.58,145.646,240.1329,2.4949,1069.0,360.0,3499.0,8781.6667,10.567,1.0,0.833,0.667,0.0
2007-04-21,1673.656,212.658,239.2132,5.0357,6575.0,463.0,11129.0,9727.2667,10.567,1.0,0.833,0.667,0.0
2007-04-22,2233.714,267.194,239.6089,6.6885,4264.0,2287.0,11102.0,19575.5667,10.567,1.0,0.833,0.667,0.0
2007-04-23,1054.566,135.64,237.2356,3.2642,1402.0,506.0,6005.0,9663.1,10.567,1.0,0.833,0.667,0.0
2007-04-24,1032.1,135.264,235.3449,3.1449,1125.0,527.0,6680.0,8869.6667,10.567,1.0,0.833,0.667,0.0
2007-04-25,1264.162,164.736,234.9411,3.8581,0.0,1469.0,8812.0,10788.3667,10.567,1.0,0.833,0.667,0.0
2007-04-26,1275.466,163.606,234.7873,3.9238,1324.0,1845.0,7163.0,10925.7667,10.567,1.0,0.833,0.667,0.0
2007-04-27,1094.332,161.928,235.2162,3.3125,1772.0,545.0,4756.0,11165.8667,10.567,1.0,0.833,0.667,0.0
2007-04-28,720.886,298.012,236.2071,2.2356,0.0,18.0,0.0,11996.7667,10.567,1.0,0.833,0.667,0.0
2007-04-29,708.48,299.52,236.24,2.2,0.0,0.0,0.0,11808.0,10.567,1.0,0.833,0.667,0.0
2007-04-30,845.91,251.43,235.692,2.6157,1214.0,500.0,1131.0,11253.5,10.567,1.0,0.833,0.667,0.0
2007-05-01,1663.858,181.608,234.6787,5.0733,4005.0,995.0,8546.0,14184.9667,81.367,13.0,6.667,2.333,0.0
2007-05-02,1003.486,160.092,235.5821,3.1415,7.0,1490.0,3754.0,11473.7667,81.367,13.0,6.667,2.333,0.0
2007-05-03,1090.238,150.942,235.1349,3.3076,1906.0,1725.0,7836.0,6703.6333,81.367,13.0,6.667,2.333,0.0
2007-05-04,998.128,174.74,235.7102,3.0781,2259.0,538.0,3990.0,9848.4667,81.367,13.0,6.667,2.333,0.0
2007-05-05,1563.052,174.102,235.035,4.7361,2913.0,2493.0,11303.0,9341.8667,81.367,13.0,6.667,2.333,0.0
2007-05-06,2102.104,182.336,234.4097,6.409,3215.0,949.0,10095.0,20776.0667,81.367,13.0,6.667,2.333,0.0
2007-05-07,1643.664,168.918,234.537,4.981,946.0,4935.0,9433.0,12080.4,81.367,13.0,6.667,2.333,0.0
2007-05-08,1789.292,181.612,234.9062,5.3564,4581.0,2011.0,8777.0,14452.5333,81.367,13.0,6.667,2.333,0.0
2007-05-09,1665.736,183.484,234.8737,5.0561,3018.0,5631.0,9474.0,9639.2667,81.367,13.0,6.667,2.333,0.0
2007-05-10,707.884,168.314,235.7963,2.2068,946.0,534.0,3261.0,7057.0667,81.367,13.0,6.667,2.333,0.0
2007-05-11,979.154,132.096,235.2298,3.0276,926.0,491.0,6471.0,8431.2333,81.367,13.0,6.667,2.333,0.0
2007-05-12,1441.566,209.172,234.7229,4.3606,2247.0,1075.0,10408.0,10296.1,81.367,13.0,6.667,2.333,0.0
2007-05-13,1634.738,220.67,235.7087,4.9692,3612.0,2414.0,8958.0,12261.6333,81.367,13.0,6.667,2.333,0.0
2007-05-14,1467.782,298.552,235.6901,4.5742,3176.0,2417.0,5517.0,13353.0333,81.367,13.0,6.667,2.333,0.0
2007-05-15,904.392,111.182,235.612,2.7333,0.0,408.0,5318.0,9347.2,81.367,13.0,6.667,2.333,0.0
2007-05-16,1692.944,135.894,235.2608,5.0718,2213.0,5756.0,9077.0,11169.7333,81.367,13.0,6.667,2.333,0.0
2007-05-17,1231.816,131.188,235.8685,3.721,1014.0,2073.0,7687.0,9756.2667,81.367,13.0,6.667,2.333,0.0
2007-05-18,1631.53,171.258,235.9946,4.8767,3270.0,3913.0,8116.0,11893.1667,81.367,13.0,6.667,2.333,0.0
2007-05-19,1429.442,167.858,234.9447,4.3193,4683.0,530.0,7022.0,11589.0333,81.367,13.0,6.667,2.333,0.0
2007-05-20,1968.328,187.532,235.3481,5.9415,5420.0,1733.0,7611.0,18041.4667,81.367,13.0,6.667,2.333,0.0
2007-05-21,1120.062,117.28,234.6919,3.3386,0.0,468.0,9060.0,9139.7,81.367,13.0,6.667,2.333,0.0
2007-05-22,1132.852,128.916,235.4806,3.3999,931.0,3966.0,3984.0,9999.8667,81.367,13.0,6.667,2.333,0.0
2007-05-23,1464.936,165.878,234.8125,4.3975,956.0,3792.0,8119.0,11548.6,81.367,13.0,6.667,2.333,0.0
2007-05-24,1154.388,135.56,235.5461,3.4621,955.0,4116.0,4746.0,9422.8,81.367,13.0,6.667,2.333,0.0
2007-05-25,1614.22,174.588,234.4472,4.8635,8060.0,586.0,6539.0,11718.6667,81.367,13.0,6.667,2.333,0.0
2007-05-26,1512.248,174.24,235.0699,4.5628,2373.0,2754.0,8628.0,11449.1333,81.367,13.0,6.667,2.333,0.0
2007-05-27,2153.808,219.894,234.9084,6.5065,4366.0,5534.0,10444.0,15552.8,81.367,13.0,6.667,2.333,0.0
2007-05-28,1637.468,151.1,234.9066,4.9219,4554.0,473.0,9586.0,12678.1333,81.367,13.0,6.667,2.333,0.0
2007-05-29,1061.34,113.244,235.6943,3.2072,0.0,1907.0,4332.0,11450.0,81.367,13.0,6.667,2.333,0.0
2007-05-30,1609.866,147.058,234.8314,4.8285,2250.0,5948.0,7804.0,10829.1,81.367,13.0,6.667,2.333,0.0
2007-05-31,938.55,129.586,235.0965,2.7918,935.0,477.0,3552.0,10678.5,81.367,13.0,6.667,2.333,0.0
2007-06-01,1045.374,143.42,235.3231,3.135,0.0,483.0,7664.0,9275.9,45.467,10.333,4.0,0.667,0.0
2007-06-02,1484.362,166.108,234.469,4.474,3971.0,1250.0,7633.0,11885.3667,45.467,10.333,4.0,0.667,0.0
2007-06-03,2108.026,182.458,234.7624,6.3529,4985.0,7529.0,8334.0,14285.7667,45.467,10.333,4.0,0.667,0.0
2007-06-04,911.618,223.192,234.7481,2.8222,1585.0,836.0,4533.0,8239.6333,45.467,10.333,4.0,0.667,0.0
2007-06-05,1458.892,255.692,234.6928,4.4651,4484.0,1027.0,6448.0,12355.8667,45.467,10.333,4.0,0.667,0.0
2007-06-06,1695.572,231.138,234.6214,5.111,3330.0,829.0,11680.0,12420.5333,45.467,10.333,4.0,0.667,0.0
2007-06-07,985.002,172.334,234.4788,2.9824,985.0,699.0,3959.0,10773.7,45.467,10.333,4.0,0.667,0.0
2007-06-08,2148.046,229.732,236.1974,6.4482,2799.0,11440.0,11380.0,10181.7667,45.467,10.333,4.0,0.667,0.0
2007-06-09,1093.02,230.736,240.7241,3.2668,852.0,599.0,6590.0,10176.0,45.467,10.333,4.0,0.667,0.0
2007-06-10,1340.812,239.092,240.8443,4.0057,4202.0,1924.0,5983.0,10237.8667,45.467,10.333,4.0,0.667,0.0
2007-06-11,794.654,194.634,240.8568,2.4179,0.0,487.0,5328.0,7429.2333,45.467,10.333,4.0,0.667,0.0
2007-06-12,918.766,216.416,240.2249,2.8586,1882.0,475.0,3898.0,9057.7667,45.467,10.333,4.0,0.667,0.0
2007-06-13,927.272,208.26,240.3976,2.8175,957.0,857.0,5216.0,8424.5333,45.467,10.333,4.0,0.667,0.0
2007-06-14,1259.084,231.696,239.8478,3.7833,3322.0,2147.0,7054.0,8461.7333,45.467,10.333,4.0,0.667,0.0
2007-06-15,989.604,251.762,240.4644,3.0662,2269.0,4011.0,4547.0,5666.4,45.467,10.333,4.0,0.667,0.0
